Hand 0:
Handedness: Left
Landmark 0: x=0.1773, y=0.5782, z=-0.0000
Landmark 1: x=0.1957, y=0.5103, z=-0.0111
Landmark 2: x=0.1841, y=0.4380, z=-0.0184
Landmark 3: x=0.1652, y=0.3845, z=-0.0248
Landmark 4: x=0.1603, y=0.3359, z=-0.0313
Landmark 5: x=0.1586, y=0.4536, z=-0.0298
Landmark 6: x=0.1272, y=0.4324, z=-0.0502
Landmark 7: x=0.1315, y=0.4399, z=-0.0624
Landmark 8: x=0.1420, y=0.4444, z=-0.0699
Landmark 9: x=0.1411, y=0.4885, z=-0.0342
Landmark 10: x=0.1195, y=0.4711, z=-0.0502
Landmark 11: x=0.1241, y=0.4757, z=-0.0544
Landmark 12: x=0.1284, y=0.4830, z=-0.0596
Landmark 13: x=0.1275, y=0.5263, z=-0.0395
Landmark 14: x=0.1139, y=0.5150, z=-0.0561
Landmark 15: x=0.1217, y=0.5155, z=-0.0547
Landmark 16: x=0.1268, y=0.5186, z=-0.0540
Landmark 17: x=0.1155, y=0.5627, z=-0.0454
Landmark 18: x=0.1042, y=0.5555, z=-0.0571
Landmark 19: x=0.1142, y=0.5536, z=-0.0565
Landmark 20: x=0.1213, y=0.5533, z=-0.0561

Hand 1:
Handedness: Left
Landmark 0: x=0.8368, y=0.6109, z=-0.0000
Landmark 1: x=0.8124, y=0.5404, z=-0.0239
Landmark 2: x=0.8247, y=0.4685, z=-0.0311
Landmark 3: x=0.8435, y=0.4174, z=-0.0356
Landmark 4: x=0.8556, y=0.3724, z=-0.0353
Landmark 5: x=0.9022, y=0.4560, z=-0.0132
Landmark 6: x=0.8299, y=0.4558, z=-0.0348
Landmark 7: x=0.8160, y=0.4879, z=-0.0460
Landmark 8: x=0.8305, y=0.5010, z=-0.0522
Landmark 9: x=0.9200, y=0.4869, z=-0.0127
Landmark 10: x=0.8304, y=0.4913, z=-0.0324
Landmark 11: x=0.8202, y=0.5220, z=-0.0353
Landmark 12: x=0.8343, y=0.5333, z=-0.0356
Landmark 13: x=0.9242, y=0.5243, z=-0.0170
Landmark 14: x=0.8382, y=0.5270, z=-0.0389
Landmark 15: x=0.8311, y=0.5509, z=-0.0342
Landmark 16: x=0.8461, y=0.5597, z=-0.0278
Landmark 17: x=0.9195, y=0.5632, z=-0.0241
Landmark 18: x=0.8567, y=0.5605, z=-0.0400
Landmark 19: x=0.8509, y=0.5749, z=-0.0384
Landmark 20: x=0.8648, y=0.5832, z=-0.0333

